gdh	message
2026-01-11T23:48:02.691Z	>>> WISER DEVICE INFO: ENV,2000,1931,4524
2026-01-11T23:48:02.719Z	>>> WISER DEVICE INFO: RST,06,0601,12770ms ago.
2026-01-11T23:48:17.173Z	>>> WISER DEVICE INFO: UI,ScreenSleep
2026-01-11T23:49:03.366Z	>>> WISER DEVICE INFO: ENV,2000,1927,4529
2026-01-11T23:50:04.688Z	>>> WISER DEVICE INFO: ENV,2000,1928,4533
2026-01-11T23:51:04.682Z	>>> WISER DEVICE INFO: ENV,2000,1924,4533
2026-01-11T23:52:05.351Z	>>> WISER DEVICE INFO: ENV,2000,1923,4535
2026-01-11T23:53:05.988Z	>>> WISER DEVICE INFO: ENV,2000,1922,4536
2026-01-11T23:54:06.654Z	>>> WISER DEVICE INFO: ENV,2000,1922,4537
2026-01-11T23:55:07.316Z	>>> WISER DEVICE INFO: ENV,2000,1922,4541
2026-01-11T23:56:07.962Z	>>> WISER DEVICE INFO: ENV,2000,1921,4541
2026-01-11T23:57:08.610Z	>>> WISER DEVICE INFO: ENV,2000,1918,4544
2026-01-11T23:58:09.303Z	>>> WISER DEVICE INFO: ENV,2000,1918,4542
2026-01-11T23:59:09.942Z	>>> WISER DEVICE INFO: ENV,2000,1918,4535
2026-01-12T00:00:10.599Z	>>> WISER DEVICE INFO: ENV,2000,1918,4535
2026-01-12T00:01:11.415Z	>>> WISER DEVICE INFO: ENV,2000,1919,4533
2026-01-12T00:02:11.931Z	>>> WISER DEVICE INFO: ENV,2000,1915,4534
2026-01-12T00:03:12.581Z	>>> WISER DEVICE INFO: ENV,2000,1918,4537
2026-01-12T00:04:13.265Z	>>> WISER DEVICE INFO: ENV,2000,1913,4537
2026-01-12T00:05:13.947Z	>>> WISER DEVICE INFO: ENV,2000,1914,4539
2026-01-12T00:06:14.611Z	>>> WISER DEVICE INFO: ENV,2000,1914,4528
2026-01-12T00:07:15.209Z	>>> WISER DEVICE INFO: ENV,2000,1909,4530
2026-01-12T00:08:15.860Z	>>> WISER DEVICE INFO: ENV,2000,1912,4531
2026-01-12T00:09:16.544Z	>>> WISER DEVICE INFO: ENV,2000,1909,4536
2026-01-12T00:10:17.262Z	>>> WISER DEVICE INFO: ENV,2000,1906,4535
2026-01-12T00:11:17.923Z	>>> WISER DEVICE INFO: ENV,2000,1906,4533
2026-01-12T00:12:18.499Z	>>> WISER DEVICE INFO: ENV,2000,1906,4533
2026-01-12T00:13:19.297Z	>>> WISER DEVICE INFO: ENV,2000,1906,4530
2026-01-12T00:14:19.813Z	>>> WISER DEVICE INFO: ENV,2000,1904,4528
2026-01-12T00:15:20.484Z	>>> WISER DEVICE INFO: ENV,2000,1902,4530
2026-01-12T00:16:21.109Z	>>> WISER DEVICE INFO: ENV,2000,1903,4525
2026-01-12T00:17:21.785Z	>>> WISER DEVICE INFO: ENV,2000,1900,4523
2026-01-12T00:18:22.430Z	>>> WISER DEVICE INFO: ENV,2000,1902,4522
2026-01-12T00:19:23.232Z	>>> WISER DEVICE INFO: ENV,2000,1899,4523
2026-01-12T00:20:23.775Z	>>> WISER DEVICE INFO: ENV,2000,1899,4529
2026-01-12T00:21:24.487Z	>>> WISER DEVICE INFO: ENV,2000,1896,4539
2026-01-12T00:22:25.253Z	>>> WISER DEVICE INFO: ENV,2000,1896,4536
2026-01-12T00:23:25.760Z	>>> WISER DEVICE INFO: ENV,2000,1893,4532
2026-01-12T00:25:27.244Z	>>> WISER DEVICE INFO: ENV,2000,1892,4535
2026-01-12T00:26:27.773Z	>>> WISER DEVICE INFO: ENV,2000,1892,4539
2026-01-12T00:27:28.413Z	>>> WISER DEVICE INFO: ENV,2000,1893,4536
2026-01-12T00:28:29.077Z	>>> WISER DEVICE INFO: ENV,2000,1890,4536
2026-01-12T00:29:29.732Z	>>> WISER DEVICE INFO: ENV,2000,1890,4538
2026-01-12T00:30:30.553Z	>>> WISER DEVICE INFO: ENV,2000,1888,4535
2026-01-12T00:31:31.082Z	>>> WISER DEVICE INFO: ENV,2000,1888,4536
2026-01-12T00:32:31.788Z	>>> WISER DEVICE INFO: ENV,2000,1889,4536
2026-01-12T00:33:32.538Z	>>> WISER DEVICE INFO: ENV,2000,1888,4536
2026-01-12T00:34:33.020Z	>>> WISER DEVICE INFO: ENV,2000,1885,4537
2026-01-12T00:35:33.676Z	>>> WISER DEVICE INFO: ENV,2000,1886,4539
2026-01-12T00:36:34.541Z	>>> WISER DEVICE INFO: ENV,2000,1883,4544
2026-01-12T00:37:35.070Z	>>> WISER DEVICE INFO: ENV,2000,1881,4542
2026-01-12T00:38:35.673Z	>>> WISER DEVICE INFO: ENV,2000,1881,4540
2026-01-12T00:39:36.394Z	>>> WISER DEVICE INFO: ENV,2000,1879,4541
2026-01-12T00:40:37.129Z	>>> WISER DEVICE INFO: ENV,2000,1880,4543
2026-01-12T00:41:37.634Z	>>> WISER DEVICE INFO: ENV,2000,1878,4546
2026-01-12T00:42:38.470Z	>>> WISER DEVICE INFO: ENV,2000,1877,4547
2026-01-12T00:44:39.647Z	>>> WISER DEVICE INFO: ENV,2000,1875,4551
2026-01-12T00:45:40.382Z	>>> WISER DEVICE INFO: ENV,2000,1876,4551
2026-01-12T00:46:41.052Z	>>> WISER DEVICE INFO: ENV,2000,1874,4552
2026-01-12T00:47:41.610Z	>>> WISER DEVICE INFO: ENV,2000,1873,4554
2026-01-12T00:48:43.138Z	>>> WISER DEVICE INFO: BAT,%f,Full
2026-01-12T00:49:42.963Z	>>> WISER DEVICE INFO: ENV,2000,1872,4556
2026-01-12T00:50:43.598Z	>>> WISER DEVICE INFO: ENV,2000,1869,4558
2026-01-12T00:51:44.401Z	>>> WISER DEVICE INFO: ENV,2000,1869,4559
2026-01-12T00:52:44.883Z	>>> WISER DEVICE INFO: ENV,2000,1869,4559
2026-01-12T00:53:45.550Z	>>> WISER DEVICE INFO: ENV,2000,1868,4559
2026-01-12T00:54:46.218Z	>>> WISER DEVICE INFO: ENV,2000,1869,4559
2026-01-12T00:55:46.884Z	>>> WISER DEVICE INFO: ENV,2000,1866,4562
2026-01-12T00:56:47.536Z	>>> WISER DEVICE INFO: ENV,2000,1864,4564
2026-01-12T00:57:48.339Z	>>> WISER DEVICE INFO: ENV,2000,1863,4569
2026-01-12T00:58:48.829Z	>>> WISER DEVICE INFO: ENV,2000,1864,4571
2026-01-12T00:59:49.565Z	>>> WISER DEVICE INFO: ENV,2000,1861,4571
2026-01-12T01:00:50.279Z	>>> WISER DEVICE INFO: ENV,2000,1860,4571
2026-01-12T01:01:50.852Z	>>> WISER DEVICE INFO: ENV,2000,1859,4576
2026-01-12T01:02:51.466Z	>>> WISER DEVICE INFO: ENV,2000,1858,4575
2026-01-12T01:03:52.339Z	>>> WISER DEVICE INFO: ENV,2000,1857,4578
2026-01-12T01:04:52.795Z	>>> WISER DEVICE INFO: ENV,2000,1858,4578
2026-01-12T01:05:53.561Z	>>> WISER DEVICE INFO: ENV,2000,1857,4581
2026-01-12T01:06:54.126Z	>>> WISER DEVICE INFO: ENV,2000,1856,4581
2026-01-12T01:07:54.772Z	>>> WISER DEVICE INFO: ENV,2000,1856,4579
2026-01-12T01:08:55.508Z	>>> WISER DEVICE INFO: ENV,2000,1856,4584
2026-01-12T01:09:56.139Z	>>> WISER DEVICE INFO: ENV,2000,1856,4587
2026-01-12T01:10:56.823Z	>>> WISER DEVICE INFO: ENV,2000,1853,4588
2026-01-12T01:11:57.445Z	>>> WISER DEVICE INFO: ENV,2000,1851,4586
2026-01-12T01:12:58.050Z	>>> WISER DEVICE INFO: ENV,2000,1851,4587
2026-01-12T01:13:58.736Z	>>> WISER DEVICE INFO: ENV,2000,1850,4591
2026-01-12T01:14:59.419Z	>>> WISER DEVICE INFO: ENV,2000,1850,4589
2026-01-12T01:16:00.030Z	>>> WISER DEVICE INFO: ENV,2000,1849,4591
2026-01-12T01:17:00.709Z	>>> WISER DEVICE INFO: ENV,2000,1848,4589
2026-01-12T01:18:01.547Z	>>> WISER DEVICE INFO: ENV,2000,1845,4589
2026-01-12T01:19:02.021Z	>>> WISER DEVICE INFO: ENV,2000,1846,4591
2026-01-12T01:20:02.712Z	>>> WISER DEVICE INFO: ENV,2000,1846,4592
